[2024-11-20 05:12:03] Acknowledgment listener thread started.
[2024-11-20 05:12:31] New Storage Server Connected!
[2024-11-20 05:12:36] Failed to handle new storage server connection.
[2024-11-20 05:13:59] New Storage Server Connected!
[2024-11-20 05:13:59] 172.19.132.204:54980 Received from SS: 172.19.132.204
[2024-11-20 05:13:59] 172.19.132.204:54980 Sent to SS: 172.19.132.204
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received Marker
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received name_len
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain- Received Name:: /home
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received NodeType
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received Permissions
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received loc_len
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain- Received dataLoaction: /home
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received has_children
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received Marker
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received name_len
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain- Received Name:: server3
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received NodeType
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received Permissions
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received loc_len
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain- Received dataLoaction: /home/server3
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received has_children
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received Marker
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received name_len
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain- Received Name:: makichu
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received NodeType
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received Permissions
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received loc_len
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain- Received dataLoaction: /home/server3/makichu
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received has_children
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received Marker
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received Marker
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received Marker
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received Marker
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received Marker
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Received Marker
[2024-11-20 05:13:59] 172.19.132.204:54980 Receiving Node Chain: Sent OK
